Date,1Y,2Y,3Y,4Y,6M,6M_1Y,2Y_6M,3Y_6M,4Y_6M,5Y,7Y,10Y,7Y_5Y,10Y_5Y
9/30/2013,29.9235,44.6749,61.9888,80.9838,,,,,,93.2893,,,,

8/30/2013,34.5543,48.9247,70.8935,88.2352,,,,,,86.2882,,,,

7/31/2013,40.5264,54.1678,74.8248,91.4902,,,,,,91.7123,,,,

6/28/2013,46.5243,55.6925,80.7,101.8242,19.208,27.3162,36.4845,61.4919,82.6162,99.3791,,,,

5/31/2013,24.1375,32.2287,53.3474,72.057,15.9589,8.1786,16.2698,37.3885,56.0981,107.6712,140.9249,157.1479,33.2537,49.4767

4/30/2013,23.0335,38.5962,60.9641,82.3262,21.7516,1.2818,16.8445,39.2124,60.5746,102.3088,,,,

3/29/2013,24.1753,44.8112,65.5977,94.8622,22.7924,1.3829,22.0189,42.8053,72.0698,81.8021,,,,

2/28/2013,22.1308,43.0825,69.8711,96.3404,15.3884,6.7424,27.694,54.4826,80.9519,84.144,107.9183,126.0303,23.7743,41.8863

1/31/2013,19.1136,41.2851,68.9904,92.1211,14.2943,4.8192,26.9908,54.6961,77.8267,85.245,110.534,128.7068,25.289,43.4618

12/31/2012,29.9695,55.2014,87.7333,113.0277,17.048,12.9216,38.1534,70.6853,95.9797,101.228,126.6686,143.364,25.4406,42.136

11/30/2012,41.1638,68.5251,102.1954,126.1351,25.6045,15.5593,42.9207,76.5909,100.5306,91.4866,115.0355,134.6885,23.5489,43.2019

10/31/2012,49.0103,81.5618,116.3067,141.4663,37.3195,11.6908,44.2423,78.9872,104.1468,79.6725,103.0074,122.8239,23.3349,43.1514

9/28/2012,49.9262,91.6641,131.6591,156.8319,38.8717,11.0544,52.7924,92.7874,117.9602,85.2284,108.3733,127.0313,23.1449,41.8029

8/31/2012,87.8012,140.5002,187.8455,207.4519,66.8765,20.9247,73.6236,120.9689,140.5753,76.7312,100.505,119.1599,23.7738,42.4287

7/31/2012,113.6593,164.6629,211.8214,233.0134,87.2669,26.3924,77.396,124.5545,145.7465,76.3979,100.0107,119.0078,23.6128,42.6099

6/29/2012,128.5952,181.1954,223.2782,243.4962,104.1271,24.4681,77.0683,119.1511,139.3691,75.1934,99.3191,117.9905,24.1257,42.7971

5/31/2012,154.7014,207.6027,240.0636,254.5302,136.8997,17.8017,70.703,103.1639,117.6305,74.7109,99.3881,118.0039,24.6772,43.293

4/30/2012,118.7925,171.5612,204.1751,219.0478,95.1908,23.6017,76.3704,108.9843,123.857,85.2308,109.169,127.0067,23.9382,41.7759

3/30/2012,93.1031,136.3305,171.0513,185.7785,67.9549,25.1482,68.3756,103.0964,117.8236,75.0745,99.2187,118.0539,24.1442,42.9794

2/29/2012,121.5869,166.6629,197.2284,210.383,105.1514,16.4355,61.5115,92.077,105.2316,62.5,86.8416,105.5097,24.3416,43.0097

1/31/2012,142.3552,171.1617,201.0901,217.1999,140.5938,1.7614,30.5679,60.4963,76.6061,70.485,92.8466,111.0181,22.3616,40.5331

12/30/2011,211.6268,237.5718,255.9075,271.0168,196.0278,15.599,41.544,59.8797,74.989,77.1725,104.3516,123.6836,27.1791,46.5111

11/30/2011,226.1341,250.8427,265.2288,282.029,218.1327,8.0014,32.71,47.0961,63.8963,65.3375,86.8566,109.319,21.5191,43.9815

10/31/2011,166.873,185.9297,198.0588,206.1505,159.9277,6.9453,26.002,38.1311,46.2228,72.33,96.9906,116.9865,24.6606,44.6565

9/30/2011,277.1552,288.0093,295.8402,302.4066,260.8093,16.3459,27.2,35.0309,41.5973,67.495,89.5074,108.84,22.0124,41.345

8/31/2011,172.5738,187.6199,192.8509,196.615,149.6268,22.947,37.9931,43.2241,46.9882,67.505,93.0193,113.9985,25.5143,46.4935

7/29/2011,45.7216,82.2669,107.6733,132.3539,38.6295,7.0921,43.6374,69.0438,93.7244,68.51,96.1948,116.6775,27.6848,48.1675

6/30/2011,38.3748,63.4753,92.1033,117.8184,35.889,2.4859,27.5864,56.2143,81.9294,76.51,104.6703,125.807,28.1603,49.297

5/31/2011,30.4391,49.6502,75.876,103.7796,25.0355,5.4036,24.6147,50.8405,78.7441,80.3275,110.3253,128.6496,29.9978,48.3221

4/29/2011,27.717,46.3388,71.8225,99.153,23.5848,4.1322,22.754,48.2377,75.5682,93.84,123.8205,144.4741,29.9805,50.6341

3/31/2011,28.0952,47.8607,71.1047,100.9584,22.614,5.4813,25.2468,48.4907,78.3445,70.9241,101.1286,120.6844,30.2045,49.7603

2/28/2011,45.4827,70.3264,87.5895,116.1067,38.6301,6.8526,31.6963,48.9595,77.4766,78.057,,,,

1/31/2011,50.6227,75.8269,91.9021,121.0447,42.7027,7.92,33.1242,49.1994,78.342,92.8977,,,,

12/31/2010,70.0735,88.5959,108.4107,130.1252,58.1098,11.9637,30.486,50.3009,72.0154,102.1185,130.6499,144.6493,28.5314,42.5308

11/30/2010,97.2476,115.2364,132.9674,155.337,87.6761,9.5715,27.5603,45.2913,67.6609,102.8763,136.001,149.7492,33.1247,46.8729

10/29/2010,78.4862,99.708,116.935,134.2018,67.8796,10.6066,31.8283,49.0554,66.3222,109.498,140.0047,155.1811,30.5067,45.6831

9/30/2010,109.9233,130.2955,145.7841,162.9769,101.5107,8.4126,28.7848,44.2734,61.4662,129.3713,153.3642,167.7912,23.9929,38.4199

8/31/2010,153.7007,168.4341,179.5424,190.0667,137.7315,15.9692,30.7026,41.8109,52.3352,97.9852,130.4344,144.0001,32.4492,46.0149

7/30/2010,119.9207,132.6707,143.0468,153.8622,106.9133,13.0074,25.7574,36.1335,46.9489,104.472,140.2585,153.1703,35.7865,48.6983

6/30/2010,152.3241,161.9576,171.5345,182.3483,136.6898,15.6343,25.2678,34.8447,45.6585,113.057,141.0507,155.7133,27.9937,42.6563

5/31/2010,139.2117,148.083,155.9886,166.4733,125.8866,13.3251,22.1964,30.102,40.5867,113.0289,137.9765,152.9698,24.9476,39.9409

